Group,Code,Description,UOM,Balance,Latest Price (RM),PO UOM,PO Date,Supplier
B.M-FABR,AVANI 01,FABRIC,MTR,12,13.00,pcs,2025-11-21,INFAB CLASSIC INDUSTRIES SDN BHD
B.M-FABR,AVANI 02,FABRIC,MTR,44,13.00,pcs,2025-11-14,INFAB CLASSIC INDUSTRIES SDN BHD
B.M-FABR,AVANI 03,FABRIC,MTR,0,,,,
B.M-FABR,AVANI 04,FABRIC,MTR,0,,,,
B.M-FABR,AVANI 05,FABRIC,MTR,0,,,,
B.M-FABR,AVANI 06,FABRIC,MTR,0,,,,
B.M-FABR,AVANI 07,FABRIC,MTR,0,,,,
B.M-FABR,AVANI 08,FABRIC,MTR,0,,,,
B.M-FABR,AVANI 09,FABRIC,MTR,0,,,,
B.M-FABR,AVANI 10,FABRIC,MTR,0,,,,
B.M-FABR,AVANI 11,FABRIC,MTR,0,,,,
B.M-FABR,AVANI 12,FABRIC,MTR,0,,,,
B.M-FABR,AVANI 13,FABRIC,MTR,14,13.00,pcs,2025-11-21,INFAB CLASSIC INDUSTRIES SDN BHD
B.M-FABR,AVANI 14,FABRIC,MTR,0,,,,
B.M-FABR,AVANI 15,FABRIC,MTR,0,,,,
B.M-FABR,AVANI 16,FABRIC,MTR,0,,,,
B.M-FABR,AVANI 17,FABRIC,MTR,0,,,,
B.M-FABR,AVANI 18,FABRIC,MTR,0,,,,
B.M-FABR,FABR(W) B,"60"" FABRIC WHITE JOINT (B)",YRD,852,0.85,pcs,2025-12-29,OCEAN SKY TRADING SDN. BHD.
B.M-FABR,FG66151-02,PICCO FG66151-02 (FABRIC),MTR,513.6,15.00,pcs,2025-11-27,INFAB CLASSIC INDUSTRIES SDN BHD
B.M-FABR,FG66151-10,PICCO FG66151-10 (FABRIC),MTR,847.6,15.00,pcs,2026-01-24,INFAB CLASSIC INDUSTRIES SDN BHD
B.M-FABR,FG66151-15,PICCO FG66151-15 (FABRIC),MTR,252.9,13.50,pcs,2025-12-03,INFAB CLASSIC INDUSTRIES SDN BHD
B.M-FABR,FG6876-01,FG6876-01 (FABRIC),METER,13.5,20.00,pcs,2025-10-21,INFAB CLASSIC INDUSTRIES SDN BHD
B.M-FABR,KS-01,BABY WHITE,METER,0,,,,
B.M-FABR,KS-01 BABY WHITE,FABRIC,MTR,320,12.00,pcs,2026-02-06,INFAB CLASSIC INDUSTRIES SDN BHD
B.M-FABR,KS-02,BUTTER CREAM,METER,0,,,,
B.M-FABR,KS-02 BUTTER CREAM,FABRIC,MTR,169.5,14.00,pcs,2026-03-05,INFAB CLASSIC INDUSTRIES SDN BHD
B.M-FABR,KS-03,YELLOW PEPPER,METER,0,,,,
B.M-FABR,KS-03 YELLOW PEPPER,FABRIC,MTR,80,14.00,pcs,2026-01-23,INFAB CLASSIC INDUSTRIES SDN BHD
B.M-FABR,KS-04,LEATHER TAN,METER,0,,,,
B.M-FABR,KS-04 LEATHER TAN,FABRIC,MTR,0,,,,
B.M-FABR,KS-05,MID COFFEE,METER,0,,,,
B.M-FABR,KS-05 MID COFFEE,FABRIC,MTR,68,14.00,pcs,2026-03-17,INFAB CLASSIC INDUSTRIES SDN BHD
B.M-FABR,KS-06,TUMERIC BROWN,METER,0,,,,
B.M-FABR,KS-06 TUMERIC BROWN,FABRIC,MTR,18,14.00,pcs,2025-12-02,INFAB CLASSIC INDUSTRIES SDN BHD
B.M-FABR,KS-07,WONDER GRAY,METER,0,,,,
B.M-FABR,KS-07 WONDER GRAY,FABRIC,MTR,0,,,,
B.M-FABR,KS-08,SEA PINK,METER,0,,,,
B.M-FABR,KS-08 SEA PINK,FABRIC,MTR,74,14.00,pcs,2026-01-23,INFAB CLASSIC INDUSTRIES SDN BHD
B.M-FABR,KS-09,ROMANCE ROSE,METER,0,,,,
B.M-FABR,KS-09 ROMANCE ROSE,FABRIC,MTR,86,14.00,pcs,2026-02-07,INFAB CLASSIC INDUSTRIES SDN BHD
B.M-FABR,KS-10,SOFT LAVENDAR,METER,0,,,,
